id,name,slug,release_date,model_creator_id,model_creator_name,elo,category_format_short_prompt_elo,category_format_long_prompt_elo,category_format_moving_camera_elo,category_format_multi_scene_elo,category_style_photorealistic_elo,category_style_cartoon_and_anime_elo,category_style_3d_animation_elo
22ae7204-9ed9-4440-a8a6-48340dc8d446,grok-imagine-video,grok-imagine-video,2026-01,a1e3ddcf-d3e4-44a5-9e8f-029a69850875,xAI,1337,1352,,1381,1426.0,1334,1343.0,1374
a077e7c2-bb0e-4aae-ad26-4acb8f95bdf2,GenFlare 2.0,genflare-2-0,2025-12,bfb6e769-2456-4027-a6da-e9e05b627a21,Baidu,1333,1347,1225.0,1371,1391.0,1337,1355.0,1344
61270a9b-9d2e-4875-810f-e81508bc5504,Kling 2.5 Turbo 1080p,kling-25-turbo-1080p,2025-09,62cc833b-f55a-4489-bcae-54806d4b04ff,KlingAI,1306,1318,,1348,,1311,1267.0,1320
1c4980f9-feaf-4552-9267-b27e164772ed,Veo 3.1 Fast Preview,veo-3-1-fast-preview,2025-10,faddc6d9-2c14-445f-9b28-56726f59c793,Google,1297,1312,,1327,,1294,1342.0,1306
ac418cb9-179f-462d-9598-df5dbd89c2e6,Veo 3.1 Preview,veo-3-1-preview,2025-10,faddc6d9-2c14-445f-9b28-56726f59c793,Google,1297,1308,,1335,,1298,1305.0,1309
bb138ad0-cdf6-4db0-a51f-24d82430d336,Hailuo 02 0616,hailuo-02-0616,2025-06,a31a9071-6144-4dbb-92dc-2e02d653ecea,MiniMax,1296,1307,,1343,,1298,,1335
d7c0367f-1adf-40ec-8195-5c5d1906efa8,Vidu Q3 Pro,vidu-q3-pro,2026-01,e3a5ba75-0127-45b0-8bcc-2864b8dd404d,Vidu,1292,1306,1404.0,1326,1413.0,1293,1288.0,1326
d149ad95-b3b2-4d23-8611-07a84c1a0e7f,Kling 3.0 Pro,kling-3-0-pro,2026-02,62cc833b-f55a-4489-bcae-54806d4b04ff,KlingAI,1290,1303,,1331,,1292,1311.0,1296
4818889c-3943-4578-9467-4827fb187e39,PixVerse V5.5,pixverse-v5-5,2025-12,1942f8d6-ab55-4408-99dd-2f99c70353f6,PixVerse,1278,1292,,1303,,1279,1305.0,1289
54dce3b3-7d22-4c87-bd14-74e5218c7759,Kling 2.6 Standard (January),kling-2-6-standard-january-no-audio,2026-01,62cc833b-f55a-4489-bcae-54806d4b04ff,KlingAI,1277,1290,,1314,,1302,1263.0,1229
2c36b87d-59db-42f7-be1b-3316c458fadd,TeleVideo 2.0,tele-video,2026-01,f199ec42-9d07-4f5e-b572-96069bc0e8b0,TeleAI,1277,1291,,1307,,1281,1255.0,1310
17c5f1af-f8aa-480d-a9c8-08811a6af5c5,GenFlare,genflare,2025-10,bfb6e769-2456-4027-a6da-e9e05b627a21,Baidu,1276,1291,,1308,,1269,1322.0,1330
92956c7a-3728-43ab-8097-dd7852172932,Avenger 0.5 Pro,avenger-05-pro,2025-10,8fd60081-cd8e-4838-bd7c-01f705ed7f7e,Video Rebirth,1275,1287,1322.0,1302,,1281,1280.0,1265
5180943f-2a96-44a5-9461-80e5ae1e249e,PixVerse V5,pixverse-v5,2025-08,1942f8d6-ab55-4408-99dd-2f99c70353f6,PixVerse,1274,1289,1165.0,1308,1359.0,1274,1261.0,1324
f3c7e331-2b60-4f87-bc9c-363264f211a8,Veo 3.1 Fast,veo-3-1-fast,2026-01,faddc6d9-2c14-445f-9b28-56726f59c793,Google,1274,1290,,1312,,1279,1324.0,1272
440843ac-4961-4eef-a504-158724c11fee,Runway Gen-4.5,runway-gen-4-5,2025-12,a6906d95-a471-4a0c-ad10-b989571de20c,Runway,1272,1288,,1309,,1274,1299.0,1328
fc9dbded-1710-4498-9711-850dc6603abf,Kling 2.6 Pro (January),kling-2-6-pro-january-no-audio,2026-01,62cc833b-f55a-4489-bcae-54806d4b04ff,KlingAI,1268,1280,1257.0,1309,1433.0,1277,1230.0,1228
b5d5057e-3d0d-4e22-b029-bd976cd1b6a6,Kling 3.0 Standard,kling-3-0-standard,2026-02,62cc833b-f55a-4489-bcae-54806d4b04ff,KlingAI,1267,1281,,1304,,1275,1224.0,1264
36e2f091-2000-4961-bf2d-0406e0a78b66,Hailuo 02 Pro,hailuo-02-pro,2025-06,a31a9071-6144-4dbb-92dc-2e02d653ecea,MiniMax,1263,1281,,1297,,1261,1284.0,1261
