id,name,slug,release_date,model_creator_id,model_creator_name,elo,rank,ci95,appearances,category_style_anime_elo,category_style_anime_ci95,category_style_anime_appearances,category_style_cartoon_illustration_elo,category_style_cartoon_illustration_ci95,category_style_cartoon_illustration_appearances,category_style_general_photorealistic_elo,category_style_general_photorealistic_ci95,category_style_general_photorealistic_appearances,category_style_graphic_design_digital_rendering_elo,category_style_graphic_design_digital_rendering_ci95,category_style_graphic_design_digital_rendering_appearances,category_style_traditional_art_elo,category_style_traditional_art_ci95,category_style_traditional_art_appearances,category_style_vintage_retro_elo,category_style_vintage_retro_ci95,category_style_vintage_retro_appearances,category_subject_commercial_elo,category_subject_commercial_ci95,category_subject_commercial_appearances,category_subject_fantasy_mythical_elo,category_subject_fantasy_mythical_ci95,category_subject_fantasy_mythical_appearances,category_subject_futuristic_sci_fi_elo,category_subject_futuristic_sci_fi_ci95,category_subject_futuristic_sci_fi_appearances,category_subject_nature_landscapes_elo,category_subject_nature_landscapes_ci95,category_subject_nature_landscapes_appearances,category_subject_people_groups_activities_elo,category_subject_people_groups_activities_ci95,category_subject_people_groups_activities_appearances,category_subject_people_portraits_elo,category_subject_people_portraits_ci95,category_subject_people_portraits_appearances,category_subject_physical_spaces_elo,category_subject_physical_spaces_ci95,category_subject_physical_spaces_appearances,category_subject_text_typography_elo,category_subject_text_typography_ci95,category_subject_text_typography_appearances,category_subject_ui_ux_design_elo,category_subject_ui_ux_design_ci95,category_subject_ui_ux_design_appearances
a1ee4d6f-d136-434b-bb1d-066fe5f9bf6f,GPT Image 1.5 (high),openai-gpt_image-1-5,2025-12,e67e56e3-15cd-43db-b679-da4660a69f41,OpenAI,1265,1,-12/12,4386,1259.0,-40/40,407.0,1255.0,-39/39,407.0,1278,-18/18,1750,1229,-23/23,1179,1377.0,-46/46,320.0,1305.0,-55/55,253.0,1219.0,-45/45,293.0,1313,-32/32,674,1264,-32/32,579,1251,-35/35,470,1333.0,-37/37,497.0,1289,-34/34,545,1213,-32/32,562,1216.0,-55/55,197.0,1261.0,-79/79,136.0
ae424391-721f-4df7-bf24-a8bef3c4c46c,Riverflow 2.0,sourceful_riverflow-2,2026-02,71724fa8-622e-455f-aaa2-ef3c5a067f8b,Sourceful,1261,2,-11/11,4590,1225.0,-38/38,411.0,1246.0,-38/38,406.0,1300,-18/18,1865,1214,-22/22,1238,1331.0,-40/40,368.0,1247.0,-52/52,240.0,1268.0,-50/50,261.0,1283,-29/29,730,1251,-31/31,603,1257,-34/34,502,1333.0,-35/35,546.0,1308,-34/34,588,1224,-31/31,631,1193.0,-53/53,212.0,1244.0,-82/82,131.0
6a5056eb-6854-43c4-bf18-01d185ce9e2f,Nano Banana Pro (Gemini 3 Pro Image),gemini_nano-banana-pro,2025-11,faddc6d9-2c14-445f-9b28-56726f59c793,Google,1222,3,-12/12,3499,1163.0,-42/42,304.0,1235.0,-41/41,327.0,1265,-20/20,1411,1170,-23/23,948,1261.0,-45/45,258.0,1265.0,-61/61,181.0,1219.0,-49/49,236.0,1231,-31/31,548,1194,-33/33,478,1223,-37/37,378,1344.0,-40/40,401.0,1213,-35/35,428,1212,-34/34,474,,,,,,
6a398b55-7f36-4039-bbbf-2045ef8ab525,FLUX.2 [max],black_forest_labs_flux-2-max,2025-12,d427ad30-eba3-4945-857a-4eb0ead82e87,Black Forest Labs,1210,4,-13/13,3047,1214.0,-48/48,257.0,1265.0,-49/49,269.0,1221,-21/21,1242,1188,-26/26,838,1201.0,-45/45,249.0,,,,1247.0,-58/58,196.0,1233,-34/34,487,1222,-39/39,393,1180,-40/40,331,1281.0,-44/44,322.0,1205,-40/40,367,1150,-35/35,434,,,,,,
18874791-11a3-4cb7-bc0e-6ca10138eec7,FLUX.2 [pro],flux_flux-2--pro,2025-11,d427ad30-eba3-4945-857a-4eb0ead82e87,Black Forest Labs,1201,5,-12/12,3347,1238.0,-45/45,289.0,1216.0,-41/41,319.0,1218,-20/20,1307,1157,-23/23,972,1272.0,-45/45,251.0,,,,1187.0,-47/47,243.0,1254,-32/32,531,1201,-33/33,486,1229,-41/41,318,1260.0,-38/38,382.0,1199,-35/35,428,1155,-34/34,431,,,,,,
e9f5c7b0-bcb3-400b-81a1-0a1401323551,Seedream 4.0,bytedance-seed_seedream-4-0,2025-09,2354746c-4775-4a06-b64d-0ba4137785b8,ByteDance Seed,1189,6,-6/6,10330,1192.0,-23/23,938.0,1179.0,-24/24,870.0,1220,-10/10,4233,1137,-13/13,2825,1249.0,-25/25,746.0,1213.0,-30/30,574.0,1148.0,-27/27,670.0,1221,-17/17,1592,1182,-19/19,1385,1200,-21/21,1027,1269.0,-21/21,1203.0,1197,-19/19,1296,1173,-19/19,1381,1150.0,-30/30,537.0,1117.0,-35/35,408.0
e2201d15-3e29-48c6-89ba-e63ccf3dde15,FLUX.2 [flex],flux_flux-2--flex,2025-11,d427ad30-eba3-4945-857a-4eb0ead82e87,Black Forest Labs,1184,7,-12/12,3323,1177.0,-43/43,290.0,1229.0,-42/42,314.0,1197,-19/19,1366,1153,-24/24,904,1217.0,-45/45,245.0,,,,1159.0,-50/50,207.0,1203,-31/31,545,1210,-34/34,465,1164,-37/37,357,1256.0,-37/37,382.0,1141,-34/34,428,1162,-34/34,439,,,,,,
bcc5b88d-1bb0-45e6-9940-2f8b99567b40,grok-imagine-image,grok-imagine-image,2026-01,a1e3ddcf-d3e4-44a5-9e8f-029a69850875,xAI,1178,8,-11/11,4186,1156.0,-37/37,371.0,1185.0,-38/38,360.0,1188,-18/18,1558,1170,-22/22,1119,1243.0,-41/41,297.0,1177.0,-50/50,223.0,1182.0,-48/48,233.0,1214,-30/30,589,1181,-30/30,571,1125,-33/33,428,1232.0,-34/34,438.0,1202,-31/31,528,1151,-30/30,538,1223.0,-58/58,181.0,,,
ec932cc1-3848-43e3-834b-c3489397db70,Imagen 4 Ultra,google-imagen_imagen-4-ultra,2025-06,faddc6d9-2c14-445f-9b28-56726f59c793,Google,1177,9,-12/12,3633,1196.0,-45/45,287.0,1225.0,-44/44,301.0,1188,-19/19,1404,1154,-22/22,1062,1222.0,-42/42,288.0,1136.0,-50/50,213.0,1187.0,-45/45,270.0,1195,-31/31,551,1163,-31/31,520,1172,-37/37,369,1255.0,-40/40,339.0,1211,-36/36,424,1148,-32/32,481,1158.0,-54/54,186.0,,,
8460c028-d357-4ca9-b761-d59d219be8f7,Imagen 4 Ultra Preview 0606,imagen-4-ultra-preview-0606,2025-06,faddc6d9-2c14-445f-9b28-56726f59c793,Google,1175,10,-10/10,4477,1161.0,-38/38,361.0,1236.0,-42/42,329.0,1200,-17/17,1806,1141,-20/20,1301,1189.0,-40/40,294.0,1186.0,-49/49,230.0,1164.0,-42/42,293.0,1173,-27/27,700,1156,-29/29,608,1145,-32/32,482,1304.0,-38/38,407.0,1176,-32/32,501,1142,-28/28,627,1259.0,-57/57,210.0,1190.0,-68/68,140.0
