id,name,slug,release_date,model_creator_id,model_creator_name,elo,category_style_anime_elo,category_style_cartoon_illustration_elo,category_style_general_photorealistic_elo,category_style_graphic_design_digital_rendering_elo,category_style_traditional_art_elo,category_subject_commercial_elo
a1ee4d6f-d136-434b-bb1d-066fe5f9bf6f,GPT Image 1.5 (high),openai-gpt_image-1-5,2025-12,e67e56e3-15cd-43db-b679-da4660a69f41,OpenAI,1265,1259.0,1255.0,1278,1229,1377.0,1219.0
ae424391-721f-4df7-bf24-a8bef3c4c46c,Riverflow 2.0,sourceful_riverflow-2,2026-02,71724fa8-622e-455f-aaa2-ef3c5a067f8b,Sourceful,1261,1225.0,1246.0,1300,1214,1331.0,1268.0
6a5056eb-6854-43c4-bf18-01d185ce9e2f,Nano Banana Pro (Gemini 3 Pro Image),gemini_nano-banana-pro,2025-11,faddc6d9-2c14-445f-9b28-56726f59c793,Google,1222,1163.0,1235.0,1265,1170,1261.0,1219.0
6a398b55-7f36-4039-bbbf-2045ef8ab525,FLUX.2 [max],black_forest_labs_flux-2-max,2025-12,d427ad30-eba3-4945-857a-4eb0ead82e87,Black Forest Labs,1210,1214.0,1265.0,1222,1188,1201.0,1248.0
18874791-11a3-4cb7-bc0e-6ca10138eec7,FLUX.2 [pro],flux_flux-2--pro,2025-11,d427ad30-eba3-4945-857a-4eb0ead82e87,Black Forest Labs,1201,1238.0,1216.0,1218,1157,1272.0,1187.0
e9f5c7b0-bcb3-400b-81a1-0a1401323551,Seedream 4.0,bytedance-seed_seedream-4-0,2025-09,2354746c-4775-4a06-b64d-0ba4137785b8,ByteDance Seed,1190,1192.0,1179.0,1221,1137,1249.0,1148.0
e2201d15-3e29-48c6-89ba-e63ccf3dde15,FLUX.2 [flex],flux_flux-2--flex,2025-11,d427ad30-eba3-4945-857a-4eb0ead82e87,Black Forest Labs,1184,1177.0,1229.0,1198,1153,1217.0,1159.0
bcc5b88d-1bb0-45e6-9940-2f8b99567b40,grok-imagine-image,grok-imagine-image,2026-01,a1e3ddcf-d3e4-44a5-9e8f-029a69850875,xAI,1178,1157.0,1185.0,1188,1171,1244.0,1180.0
ec932cc1-3848-43e3-834b-c3489397db70,Imagen 4 Ultra,google-imagen_imagen-4-ultra,2025-06,faddc6d9-2c14-445f-9b28-56726f59c793,Google,1177,1196.0,1226.0,1188,1154,1222.0,1187.0
8460c028-d357-4ca9-b761-d59d219be8f7,Imagen 4 Ultra Preview 0606,imagen-4-ultra-preview-0606,2025-06,faddc6d9-2c14-445f-9b28-56726f59c793,Google,1175,1161.0,1236.0,1200,1141,1189.0,1164.0
08f19008-675e-4d70-98b2-49ad3178c1f0,Seedream 4.5,seedream-4-5,2025-12,2354746c-4775-4a06-b64d-0ba4137785b8,ByteDance Seed,1173,1206.0,1232.0,1175,1139,1255.0,1152.0
b76d882e-80cb-4f7f-8a4b-6e475704ac13,Imagen 4 Preview 0606,imagen-4-preview-0606,2025-06,faddc6d9-2c14-445f-9b28-56726f59c793,Google,1168,1177.0,1214.0,1181,1131,1201.0,1234.0
ead01c00-8518-4f8d-8033-76fcaef910fd,Nano Banana (Gemini 2.5 Flash Image),google_gemini-2-5-flash,2025-08,faddc6d9-2c14-445f-9b28-56726f59c793,Google,1167,1127.0,1196.0,1187,1132,1254.0,1139.0
db7a9087-0b50-41f8-ac41-fb48db3aa459,FLUX.2 [dev] Turbo,fal_flux-2-dev-turbo,2025-12,d3f67dc4-ba4d-4103-ba79-ee321ca99b40,Fal,1165,1177.0,1143.0,1184,1131,1250.0,1184.0
a4df7ca4-0e85-4ff4-a796-da8af019fbca,Seedream 3.0,seedream-3-0-byteplus,2025-04,2354746c-4775-4a06-b64d-0ba4137785b8,ByteDance Seed,1152,1144.0,1109.0,1220,1076,1226.0,1109.0
5959f365-f1fa-424b-8bef-3b839251a497,ImagineArt 1.5 Preview,imagineart-1-5-preview,2025-11,3257e1b4-560b-4bb9-8197-39de391c491f,ImagineArt,1152,1140.0,1163.0,1194,1115,1146.0,1123.0
6cb40a9f-7823-4667-870f-19619afc10ea,Qwen Image Max 2512,qwen_qwen-image-2512,2025-12,d874d370-74d3-4fa0-ba00-5272f92f946b,Alibaba,1151,1114.0,1162.0,1191,1122,1154.0,1141.0
df44f7b5-8035-4a99-a0bb-ff22149d0464,FLUX.2 [dev],flux_flux-2--dev,2025-11,d427ad30-eba3-4945-857a-4eb0ead82e87,Black Forest Labs,1149,1135.0,1127.0,1189,1099,1235.0,1148.0
aa41be4d-efb7-4d31-99e6-72678c1d05fd,Wan 2.5 Preview,wan_wan-2-5-preview,2025-09,d874d370-74d3-4fa0-ba00-5272f92f946b,Alibaba,1147,1142.0,1111.0,1172,1099,1259.0,1160.0
c8a7698c-a595-476d-a56b-8b3ef4f239b7,Wan 2.6 Image,wan_wan-2-6,2025-12,d874d370-74d3-4fa0-ba00-5272f92f946b,Alibaba,1142,,,1167,1102,,
b29f787a-5542-4920-9949-2fb5c3d05fd4,grok-imagine-image-pro,grok-imagine-image-pro,2026-02,a1e3ddcf-d3e4-44a5-9e8f-029a69850875,xAI,1141,1064.0,1162.0,1160,1133,1166.0,1179.0
caa670a4-e827-4a4b-84fb-2dd240205fe2,Wan2.6 Text to Image,wan_wan-2-6-text-to-image-v2,2026-01,d874d370-74d3-4fa0-ba00-5272f92f946b,Alibaba,1137,1159.0,1111.0,1174,1071,1248.0,1094.0
0413f436-9aa3-4f92-aa34-9432841c1830,FLUX.2 [dev] Flash,fal_flux-2-dev-flash,2025-12,d3f67dc4-ba4d-4103-ba79-ee321ca99b40,Fal,1135,1174.0,1150.0,1150,1087,1200.0,1138.0
3a03722d-32c0-44f3-adde-188c51b639f1,FLUX.2 [klein] 9B,flux_flux-2-klein-9b,2026-01,d427ad30-eba3-4945-857a-4eb0ead82e87,Black Forest Labs,1134,1121.0,1141.0,1174,1075,1230.0,1132.0
e1394274-78e1-4ac7-863b-1fc28ec41939,Vivago 2.1,vivago_vivago-2-1,2025-10,040f2c41-5df4-4708-8c77-6a2030be2539,HiDream,1128,1148.0,1132.0,1150,1098,1178.0,1124.0
2f5ebb1e-6d5f-48b0-95bf-3b590fd45971,GPT Image 1 (high),openai-gpt_gpt-image-1--high,2025-04,e67e56e3-15cd-43db-b679-da4660a69f41,OpenAI,1126,1089.0,1133.0,1137,1100,1220.0,1145.0
2d625c08-831c-42d3-b910-e5e68b6c44d4,Kolors 2.1,kolors-2-1,2025-07,62cc833b-f55a-4489-bcae-54806d4b04ff,KlingAI,1123,1095.0,1181.0,1146,1101,1109.0,1120.0
b7c09073-9046-4043-884b-ac541fedbbac,FLUX.1 Kontext [max],flux-1-kontext-max,2025-05,d427ad30-eba3-4945-857a-4eb0ead82e87,Black Forest Labs,1120,1064.0,1084.0,1138,1100,1228.0,1119.0
d48735c9-9f0f-45b6-ad45-cc03eec252c8,Z-Image Turbo,alibaba_z-image-turbo,2025-12,d874d370-74d3-4fa0-ba00-5272f92f946b,Alibaba,1118,1082.0,1073.0,1174,1058,1214.0,1088.0
b88087be-28be-4cef-9981-2d4470b3c42a,HunyuanImage 3.0 (Fal),tencent_hunyuanimage-3-0-fal,2025-09,a4e5bd55-a6cd-4dcf-8d4a-1d9643cd3826,Tencent,1117,1127.0,1124.0,1145,1040,1253.0,1095.0
8d8aa93e-0d6c-4973-9946-e00e52eeb01d,Lucid Origin Ultra,lucid-origin-ultra,2025-08,c104be52-31ea-4948-b921-265dc297f3ac,Leonardo.Ai,1114,1099.0,1070.0,1152,1077,1195.0,1044.0
ba07faac-d296-472d-8249-9a0b6f78184a,HunyuanImage 3.0 Instruct (Fal),tencent_hunyuanimage-3-0-instruct--fal,2026-01,a4e5bd55-a6cd-4dcf-8d4a-1d9643cd3826,Tencent,1114,1087.0,1111.0,1115,1115,1193.0,1106.0
29714890-0638-4648-a1df-3fdc2a4b42fa,Vidu Q2,vidu_vidu_q2,2025-11,e3a5ba75-0127-45b0-8bcc-2864b8dd404d,Vidu,1112,1143.0,1179.0,1129,1060,1198.0,1059.0
