id,name,slug,elo,model_creator_id,model_creator_name
bc7fffec-5ccd-420c-b5b3-be6fba294b53,Inworld TTS 1 Max,inworld-tts-1-max,1162,3aab6d2e-04b0-43ee-996f-d8ef76ac3232,Inworld
6e0eadf0-3bf9-4424-a563-90292f2a0afd,Inworld TTS 1.5 Max,tts-1-5-max,1115,3aab6d2e-04b0-43ee-996f-d8ef76ac3232,Inworld
78588185-b188-46fb-8d06-c06f52009715,TTS-1,tts-1,1111,e67e56e3-15cd-43db-b679-da4660a69f41,OpenAI
953aeced-7f15-4a02-a2f5-3c9cfccbbb39,Speech-02-Turbo,speech-02-turbo,1107,a31a9071-6144-4dbb-92dc-2e02d653ecea,MiniMax
9cd43eb4-f436-4ea2-b3d9-5c912bdea912,Multilingual v2,multilingual-v2,1105,8d057760-0a8b-460a-9625-6dd261bb325c,ElevenLabs
65166a7b-b42c-4a68-b051-9662facd2f91,Speech-02-HD,speech-02-hd,1105,a31a9071-6144-4dbb-92dc-2e02d653ecea,MiniMax
0b68ecd2-8ad5-4035-bafc-e76e61bb536b,Speech 2.6 HD,speech-2.6-hd,1105,a31a9071-6144-4dbb-92dc-2e02d653ecea,MiniMax
365ea52f-0abb-4d28-a292-3d77e32fe468,Speech 2.6 Turbo,speech-2.6-turbo,1103,a31a9071-6144-4dbb-92dc-2e02d653ecea,MiniMax
2d3f6b08-353d-40e9-a5e7-a3c1952b2dd8,Turbo v2.5,turbo-v2-5,1096,8d057760-0a8b-460a-9625-6dd261bb325c,ElevenLabs
3f002d44-984e-411f-8a66-dcb90dcdee84,ElevenLabs v3 - Alpha,elevenlabs-v3,1095,8d057760-0a8b-460a-9625-6dd261bb325c,ElevenLabs
1df468c9-1994-44ac-8515-672074258436,Inworld TTS 1,inworld-tts,1095,3aab6d2e-04b0-43ee-996f-d8ef76ac3232,Inworld
cccb3742-da05-4447-910c-43a5d3eda5b7,Flash v2.5,flash-v2-5,1088,8d057760-0a8b-460a-9625-6dd261bb325c,ElevenLabs
d4a99f6e-77fe-4fbd-807f-2c422f478279,Step TTS 2,step-tts-2,1075,ce2e2e8b-7a22-4020-98ec-8ef71000dd42,StepFun
