id,name,slug,release_date,model_creator_id,model_creator_name,elo,category_format_short_prompt_elo,category_format_long_prompt_elo,category_format_moving_camera_elo,category_format_multi_scene_elo,category_style_photorealistic_elo,category_style_cartoon_and_anime_elo,category_style_3d_animation_elo
d149ad95-b3b2-4d23-8611-07a84c1a0e7f,Kling 3.0 Pro,kling-3-0-pro,2026-02,62cc833b-f55a-4489-bcae-54806d4b04ff,KlingAI,1249,1249,1253,1260,1259.0,,1345,
22ae7204-9ed9-4440-a8a6-48340dc8d446,grok-imagine-video,grok-imagine-video,2026-01,a1e3ddcf-d3e4-44a5-9e8f-029a69850875,xAI,1231,1224,1276,1204,1279.0,1220.0,1340,1281.0
440843ac-4961-4eef-a504-158724c11fee,Runway Gen-4.5,runway-gen-4-5,2025-12,a6906d95-a471-4a0c-ad10-b989571de20c,Runway,1230,1226,1258,1208,1258.0,1243.0,1293,1198.0
d7c0367f-1adf-40ec-8195-5c5d1906efa8,Vidu Q3 Pro,vidu-q3-pro,2026-01,e3a5ba75-0127-45b0-8bcc-2864b8dd404d,Vidu,1230,1229,1238,1189,1261.0,1217.0,1317,1227.0
f3c7e331-2b60-4f87-bc9c-363264f211a8,Veo 3.1 Fast,veo-3-1-fast,2026-01,faddc6d9-2c14-445f-9b28-56726f59c793,Google,1223,1219,1250,1201,1197.0,,1274,
b8dc1338-a685-4c03-ad98-cf61226547b0,Veo 3.1,veo-3-1,2026-01,faddc6d9-2c14-445f-9b28-56726f59c793,Google,1223,1219,1248,1229,1175.0,,1274,
7623b756-8b01-4e60-aed4-3322c1933e36,Veo 3,veo-3-no-audio,2025-07,faddc6d9-2c14-445f-9b28-56726f59c793,Google,1223,1222,1232,1199,1172.0,,1252,
7f0a15d2-2578-4a41-8d71-ce03027ca659,Veo 3 Preview,veo-3-preview,2025-05,faddc6d9-2c14-445f-9b28-56726f59c793,Google,1222,1219,1232,1202,,,1211,
b5d5057e-3d0d-4e22-b029-bd976cd1b6a6,Kling 3.0 Standard,kling-3-0-standard,2026-02,62cc833b-f55a-4489-bcae-54806d4b04ff,KlingAI,1222,1219,1239,1262,1220.0,,1279,
ac418cb9-179f-462d-9598-df5dbd89c2e6,Veo 3.1 Preview,veo-3-1-preview,2025-10,faddc6d9-2c14-445f-9b28-56726f59c793,Google,1222,1220,1237,1214,1141.0,,1242,
1c4980f9-feaf-4552-9267-b27e164772ed,Veo 3.1 Fast Preview,veo-3-1-fast-preview,2025-10,faddc6d9-2c14-445f-9b28-56726f59c793,Google,1221,1213,1268,1180,1231.0,1258.0,1197,1213.0
61270a9b-9d2e-4875-810f-e81508bc5504,Kling 2.5 Turbo 1080p,kling-25-turbo-1080p,2025-09,62cc833b-f55a-4489-bcae-54806d4b04ff,KlingAI,1213,1209,1234,1244,1188.0,1215.0,1240,1228.0
46b5ed93-3586-4fc3-875b-4231492aea82,Kling O1 Pro (January),kling-o1-pro-january,2026-01,62cc833b-f55a-4489-bcae-54806d4b04ff,KlingAI,1212,1213,1209,1242,1167.0,1200.0,1211,1311.0
fc9dbded-1710-4498-9711-850dc6603abf,Kling 2.6 Pro (January),kling-2-6-pro-january-no-audio,2026-01,62cc833b-f55a-4489-bcae-54806d4b04ff,KlingAI,1211,1206,1242,1240,1178.0,1245.0,1237,
735c14cc-5bab-445d-b8d1-a0bc2045c006,Sora 2 Pro,sora-2-pro,2025-09,e67e56e3-15cd-43db-b679-da4660a69f41,OpenAI,1205,1200,1241,1215,1278.0,1282.0,1266,
f719629b-b8ad-4cce-92f9-758936baff53,Ray 3,ray-3,2025-09,09468924-69a9-499b-8dd6-d0bb4c05285d,Luma Labs,1204,1202,1215,1224,1183.0,1282.0,1219,1213.0
943fcd42-1773-4e03-bc6f-7646e74ab78b,Kling O1 Standard (December),kling-o1-standard,2025-12,62cc833b-f55a-4489-bcae-54806d4b04ff,KlingAI,1203,1200,1224,1223,1226.0,,1255,
b4ba4df0-544e-4730-a6b1-ee4611f29261,Kling O1 Standard (January),kling-o1-standard-january,2026-01,62cc833b-f55a-4489-bcae-54806d4b04ff,KlingAI,1199,1196,1223,1210,1198.0,1220.0,1229,1240.0
4818889c-3943-4578-9467-4827fb187e39,PixVerse V5.5,pixverse-v5-5,2025-12,1942f8d6-ab55-4408-99dd-2f99c70353f6,PixVerse,1195,1190,1231,1201,1211.0,,1276,
6ccddbde-d734-4ac0-95a7-f7ed903ec45d,Wan 2.6,wan-2-6,2025-12,d874d370-74d3-4fa0-ba00-5272f92f946b,Alibaba,1194,1195,1193,1202,,,1264,
54dce3b3-7d22-4c87-bd14-74e5218c7759,Kling 2.6 Standard (January),kling-2-6-standard-january-no-audio,2026-01,62cc833b-f55a-4489-bcae-54806d4b04ff,KlingAI,1194,1189,1222,1201,1184.0,1239.0,1210,1215.0
e3a669c9-59de-46ac-aa7f-8aa079317add,Kling 2.6 Pro (December),kling-2-6-pro,2025-12,62cc833b-f55a-4489-bcae-54806d4b04ff,KlingAI,1191,1191,1195,1214,1216.0,,1212,
249f428c-b651-4c9e-b599-5cc3c1db7616,Sora 2 (December),sora-2-december-no-audio,2025-12,e67e56e3-15cd-43db-b679-da4660a69f41,OpenAI,1189,1189,1193,1173,1271.0,,1263,
8a8a6959-5c17-48e3-88d4-ec46de155429,Kling O1 Pro (December),kling-o1-pro,2025-12,62cc833b-f55a-4489-bcae-54806d4b04ff,KlingAI,1188,1188,1193,1191,1191.0,,1206,
c4f20ba7-a57a-46b5-a9eb-7655d7bed256,Hailuo 2.3,hailuo-2-3-prompt-enhancement,2025-10,a31a9071-6144-4dbb-92dc-2e02d653ecea,MiniMax,1185,1183,1197,1182,1154.0,1174.0,1202,1157.0
