aa_slug,aa_name,aa_model_creator_name,aa_model_creator_name_CN,is_cn_provider,aa_intelligence_index,aa_coding_index,aa_gpqa,aa_hle,aa_ifbench,aa_lcr,aa_scicode,aa_terminalbench_hard,aa_tau2,aa_ttft_seconds,aa_tps,aa_price_input_usd,aa_price_output_usd,aa_price_blended_usd,aa_context_length,aa_release_date,has_aa,has_or,match_confidence,record_date,updated_at
claude-3-5-haiku,Claude 3.5 Haiku,Anthropic,,false,18.7,10.7,0.408,0.035,0.428,0.233,0.274,0.023,0.246,0.824,46.353,0.8,4.0,1.6,200000,2024-10-22,true,true,high,,2026-02-22 13:37:18.707625+00
claude-3-7-sonnet,Claude 3.7 Sonnet (Non-reasoning),Anthropic,,false,30.8,26.7,0.656,0.048,0.44,0.483,0.376,0.212,0.5,0.0,0.0,3.0,15.0,6.0,200000,2025-02-24,true,true,medium,,2026-02-22 13:37:18.707625+00
claude-3-haiku,Claude 3 Haiku,Anthropic,,false,12.1,6.7,0.374,0.039,0.361,0.21,0.186,0.008,0.211,0.468,117.418,0.25,1.25,0.5,200000,2024-03-04,true,true,high,,2026-02-22 13:37:18.707625+00
claude-35-sonnet,Claude 3.5 Sonnet (Oct '24),Anthropic,,false,15.9,30.2,0.599,0.039,,,0.366,,,0.0,0.0,3.0,15.0,6.0,200000,2024-10-22,true,true,medium,,2026-02-22 13:37:18.707625+00
claude-opus-4-5,Claude Opus 4.5 (Non-reasoning),Anthropic,,false,43.0,42.9,0.81,0.129,0.43,0.653,0.47,0.409,0.863,1.218,64.55,5.0,25.0,10.0,200000,2025-11-24,true,true,medium,,2026-02-22 13:37:18.707625+00
claude-opus-4-6,"Claude Opus 4.6 (Non-reasoning, High Effort)",Anthropic,,false,46.4,47.6,0.84,0.186,0.446,0.583,0.457,0.485,0.848,1.613,66.54,5.0,25.0,10.0,1000000,2026-02-05,true,true,medium,,2026-02-22 13:37:18.707625+00
claude-sonnet-4-6,"Claude Sonnet 4.6 (Non-reasoning, High Effort)",Anthropic,,false,44.3,46.4,0.799,0.132,0.412,0.577,0.469,0.462,0.795,0.791,56.238,3.0,15.0,6.0,1000000,2026-02-17,true,true,medium,,2026-02-22 13:37:18.707625+00
command-a,Command A,Cohere,,false,13.4,9.9,0.527,0.046,0.365,0.18,0.281,0.008,0.152,0.345,48.727,2.5,10.0,4.375,256000,2025-03-13,true,true,high,,2026-02-22 13:37:18.707625+00
command-r-03-2024,Command-R (Mar '24),Cohere,,false,7.4,,0.284,0.048,,,0.062,,,0.0,0.0,0.5,1.5,0.75,128000,2024-03-12,true,true,medium,,2026-02-22 13:37:18.707625+00
command-r-plus-04-2024,Command-R+ (Apr '24),Cohere,,false,8.3,,0.323,0.045,,,0.118,,,0.0,0.0,3.0,15.0,6.0,128000,2024-04-04,true,true,medium,,2026-02-22 13:37:18.707625+00
deepseek-r1,DeepSeek R1 0528 (May '25),DeepSeek,深度求索Deepseek,true,27,24,0.813,0.149,0.396,0.547,0.403,0.159,0.365,0,0,1.35,4.2,2.362,64000,2025-05-28,true,true,medium,2026-02-23,2026-02-22 13:37:18.707625+00
deepseek-r1-distill-llama-70b,DeepSeek R1 Distill Llama 70B,DeepSeek,深度求索Deepseek,true,16,11.4,0.402,0.061,0.276,0.11,0.312,0.015,0.219,0.788,56.241,0.7,1.05,0.875,131072,2025-01-20,true,true,medium,2026-02-23,2026-02-22 13:37:18.707625+00
deepseek-r1-distill-qwen-32b,DeepSeek R1 Distill Qwen 32B,DeepSeek,深度求索Deepseek,true,17.2,,0.615,0.055,0.229,0.097,0.376,,,0.267,56.405,0.27,0.27,0.27,32768,2025-01-20,true,true,medium,2026-02-23,2026-02-22 13:37:18.707625+00
deepseek-v3,DeepSeek V3 (Dec '24),DeepSeek,深度求索Deepseek,true,16.4,16.4,0.557,0.036,0.348,0.29,0.354,0.068,0.228,0.0,0.0,0.4,0.89,0.625,163840,2024-12-26,true,true,medium,,2026-02-22 13:37:18.707625+00
deepseek-v3-0324,DeepSeek V3 0324,DeepSeek,深度求索Deepseek,true,21.8,22.0,0.655,0.052,0.41,0.41,0.358,0.152,0.471,0.0,0.0,1.195,1.35,1.25,163840,2025-03-25,true,true,high,,2026-02-22 13:37:18.707625+00
deepseek-v3-1,DeepSeek V3.1 (Non-reasoning),DeepSeek,深度求索Deepseek,true,28.0,28.4,0.735,0.063,0.378,0.45,0.367,0.242,0.348,0.0,0.0,0.56,1.68,0.84,32768,2025-08-21,true,true,medium,,2026-02-22 13:37:18.707625+00
deepseek-v3-1-terminus,DeepSeek V3.1 Terminus (Non-reasoning),DeepSeek,深度求索Deepseek,true,28.4,31.9,0.751,0.084,0.412,0.433,0.321,0.318,0.371,0.0,0.0,0.4,1.68,0.8,163840,2025-09-22,true,true,medium,,2026-02-22 13:37:18.707625+00
deepseek-v3-2,DeepSeek V3.2 (Non-reasoning),DeepSeek,深度求索Deepseek,true,32.1,34.6,0.751,0.105,0.49,0.39,0.387,0.326,0.789,1.19,49.062,0.28,0.42,0.315,163840,2025-12-01,true,true,medium,,2026-02-22 13:37:18.707625+00
deepseek-v3-2-0925,DeepSeek V3.2 Exp (Non-reasoning),DeepSeek,深度求索Deepseek,true,28.3,30.0,0.738,0.086,0.431,0.43,0.399,0.25,0.339,1.142,49.705,0.28,0.42,0.315,163840,2025-09-29,true,true,medium,,2026-02-22 13:37:18.707625+00
deepseek-v3-2-speciale,DeepSeek V3.2 Speciale,DeepSeek,深度求索Deepseek,true,34.1,37.9,0.871,0.261,0.639,0.593,0.44,0.348,0.0,0.0,0.0,0.4,0.5,0.425,163840,2025-12-01,true,true,high,,2026-02-22 13:37:18.707625+00
devstral-2,Devstral 2,Mistral,,false,22.0,23.7,0.594,0.036,0.381,0.3,0.331,0.189,0.249,0.387,75.897,0.0,0.0,0.0,262144,2025-12-09,true,true,medium,,2026-02-22 13:37:18.707625+00
devstral-medium,Devstral Medium,Mistral,,false,18.6,15.9,0.492,0.038,0.299,0.287,0.294,0.091,0.199,0.436,107.71,0.4,2.0,0.8,131072,2025-07-10,true,true,high,,2026-02-22 13:37:18.707625+00
devstral-small,Devstral Small (Jul '25),Mistral,,false,15.2,12.1,0.414,0.037,0.346,0.17,0.243,0.061,0.284,0.352,233.784,0.1,0.3,0.15,131072,2025-07-10,true,true,low,,2026-02-22 13:37:18.707625+00
ernie-4-5-300b-a47b,ERNIE 4.5 300B A47B,Baidu,百度,true,14.9,14.5,0.811,0.035,0.391,0.023,0.315,0.061,0.0,1.936,20.967,0.28,1.1,0.485,123000,2025-06-30,true,true,high,,2026-02-22 13:37:18.707625+00
gemini_nano-banana-pro,Nano Banana Pro (Gemini 3 Pro Image),Google,,false,,,,,,,,,,,,,,,65536,2025-11,true,true,medium,,2026-02-22 13:37:18.707625+00
gemini-2-0-flash,Gemini 2.0 Flash (Feb '25),Google,,false,18.5,13.6,0.623,0.053,0.402,0.283,0.333,0.038,0.295,0.0,0.0,0.15,0.6,0.263,1048576,2025-02-05,true,true,medium,,2026-02-22 13:37:18.707625+00
gemini-2-0-flash-lite-001,Gemini 2.0 Flash-Lite (Feb '25),Google,,false,14.7,,0.535,0.036,,,0.25,,,0.0,0.0,0.0,0.0,0.0,1048576,2025-02-25,true,true,medium,,2026-02-22 13:37:18.707625+00
gemini-2-5-flash,Gemini 2.5 Flash (Non-reasoning),Google,,false,20.5,17.8,0.683,0.051,0.39,0.459,0.291,0.121,0.149,0.407,238.113,0.3,2.5,0.85,1048576,2025-05-20,true,true,medium,,2026-02-22 13:37:18.707625+00
gemini-2-5-flash-lite,Gemini 2.5 Flash-Lite (Non-reasoning),Google,,false,12.5,7.4,0.474,0.037,0.315,0.313,0.177,0.023,0.19,0.282,272.865,0.1,0.4,0.175,1048576,2025-06-17,true,true,medium,,2026-02-22 13:37:18.707625+00
gemini-2-5-pro,Gemini 2.5 Pro,Google,,false,34.5,31.9,0.844,0.211,0.487,0.66,0.428,0.265,0.541,36.682,158.836,1.25,10.0,3.438,1048576,2025-06-05,true,true,high,,2026-02-22 13:37:18.707625+00
gemini-2-5-pro-03-25,Gemini 2.5 Pro Preview (Mar' 25),Google,,false,30.3,46.7,0.836,0.171,,,0.395,,,0.0,0.0,0.0,0.0,0.0,1048576,2025-03-25,true,true,low,,2026-02-22 13:37:18.707625+00
gemini-3-1-pro-preview,Gemini 3.1 Pro Preview,Google,,false,57.0,55.5,0.941,0.447,0.771,0.727,0.589,0.538,0.956,33.177,109.287,2.0,12.0,4.5,1048576,2026-02-19,true,true,high,,2026-02-22 13:37:18.707625+00
gemini-3-flash,Gemini 3 Flash Preview (Non-reasoning),Google,,false,35.1,37.8,0.812,0.141,0.551,0.48,0.499,0.318,0.433,9.57,177.897,0.5,3.0,1.125,1048576,2025-12-17,true,true,medium,,2026-02-22 13:37:18.707625+00
gemini-3-pro,Gemini 3 Pro Preview (high),Google,,false,48.4,46.5,0.908,0.372,0.704,0.707,0.561,0.417,0.871,27.712,139.671,2.0,12.0,4.5,1048576,2025-11-18,true,true,medium,,2026-02-22 13:37:18.707625+00
gemma-3-12b,Gemma 3 12B Instruct,Google,,false,8.8,6.3,0.349,0.048,0.367,0.067,0.174,0.008,0.108,25.358,34.897,0.0,0.0,0.0,32768,2025-03-12,true,true,medium,,2026-02-22 13:37:18.707625+00
gemma-3-27b,Gemma 3 27B Instruct,Google,,false,10.2,9.6,0.428,0.047,0.318,0.057,0.212,0.038,0.105,0.79,35.141,0.0,0.0,0.0,131072,2025-03-12,true,true,medium,,2026-02-22 13:37:18.707625+00
gemma-3-4b,Gemma 3 4B Instruct,Google,,false,6.3,2.9,0.291,0.052,0.283,0.057,0.073,0.008,0.05,0.908,34.655,0.0,0.0,0.0,32768,2025-03-12,true,true,medium,,2026-02-22 13:37:18.707625+00
glm-4-5-air,GLM-4.5-Air,Z AI,智谱,true,23.2,23.8,0.733,0.068,0.376,0.437,0.306,0.205,0.465,0.693,262.468,0.2,1.1,0.425,131072,2025-07-28,true,true,medium,,2026-02-22 13:37:18.707625+00
glm-4-5v,GLM-4.5V (Non-reasoning),Z AI,智谱,true,12.5,10.8,0.573,0.036,0.286,0.0,0.188,0.068,0.196,1.128,58.947,0.6,1.8,0.9,65536,2025-08-11,true,true,medium,,2026-02-22 13:37:18.707625+00
glm-4-6,GLM-4.6 (Non-reasoning),Z AI,智谱,true,30.1,30.2,0.632,0.052,0.367,0.263,0.331,0.288,0.769,0.689,98.658,0.6,2.2,1.0,202752,2025-09-30,true,true,medium,,2026-02-22 13:37:18.707625+00
glm-4-6v,GLM-4.6V (Non-reasoning),Z AI,智谱,true,17.1,11.1,0.566,0.037,0.279,0.123,0.272,0.03,0.307,1.079,48.248,0.3,0.9,0.45,131072,2025-12-08,true,true,medium,,2026-02-22 13:37:18.707625+00
glm-4-7,GLM-4.7 (Reasoning),Z AI,智谱,true,42.0,36.3,0.859,0.251,0.679,0.64,0.451,0.318,0.959,0.584,154.585,0.55,2.15,0.938,202752,2025-12-22,true,true,medium,,2026-02-22 13:37:18.707625+00
